type,StationName,DateTime,aqhi
General Stations,Central/Western,"Fri, 10 Nov 2017 11:00:00 +0800",4
General Stations,Central/Western,"Fri, 10 Nov 2017 12:00:00 +0800",4
General Stations,Central/Western,"Fri, 10 Nov 2017 13:00:00 +0800",5
General Stations,Central/Western,"Fri, 10 Nov 2017 14:00:00 +0800",5
General Stations,Central/Western,"Fri, 10 Nov 2017 15:00:00 +0800",5
General Stations,Central/Western,"Fri, 10 Nov 2017 16:00:00 +0800",6
General Stations,Central/Western,"Fri, 10 Nov 2017 17:00:00 +0800",6
General Stations,Central/Western,"Fri, 10 Nov 2017 18:00:00 +0800",6
General Stations,Central/Western,"Fri, 10 Nov 2017 19:00:00 +0800",6
General Stations,Central/Western,"Fri, 10 Nov 2017 20:00:00 +0800",6
General Stations,Central/Western,"Fri, 10 Nov 2017 21:00:00 +0800",6
General Stations,Central/Western,"Fri, 10 Nov 2017 22:00:00 +0800",6
General Stations,Central/Western,"Fri, 10 Nov 2017 23:00:00 +0800",5
General Stations,Central/Western,"Sat, 11 Nov 2017 00:00:00 +0800",5
General Stations,Central/Western,"Sat, 11 Nov 2017 01:00:00 +0800",4
General Stations,Central/Western,"Sat, 11 Nov 2017 02:00:00 +0800",4
General Stations,Central/Western,"Sat, 11 Nov 2017 03:00:00 +0800",4
General Stations,Central/Western,"Sat, 11 Nov 2017 04:00:00 +0800",4
General Stations,Central/Western,"Sat, 11 Nov 2017 05:00:00 +0800",4
General Stations,Central/Western,"Sat, 11 Nov 2017 06:00:00 +0800",4
General Stations,Central/Western,"Sat, 11 Nov 2017 07:00:00 +0800",4
General Stations,Central/Western,"Sat, 11 Nov 2017 08:00:00 +0800",4
General Stations,Central/Western,"Sat, 11 Nov 2017 09:00:00 +0800",4
General Stations,Central/Western,"Sat, 11 Nov 2017 10:00:00 +0800",4
General Stations,Eastern,"Fri, 10 Nov 2017 11:00:00 +0800",4
General Stations,Eastern,"Fri, 10 Nov 2017 12:00:00 +0800",4
General Stations,Eastern,"Fri, 10 Nov 2017 13:00:00 +0800",5
General Stations,Eastern,"Fri, 10 Nov 2017 14:00:00 +0800",5
General Stations,Eastern,"Fri, 10 Nov 2017 15:00:00 +0800",5
General Stations,Eastern,"Fri, 10 Nov 2017 16:00:00 +0800",6
General Stations,Eastern,"Fri, 10 Nov 2017 17:00:00 +0800",6
General Stations,Eastern,"Fri, 10 Nov 2017 18:00:00 +0800",6
General Stations,Eastern,"Fri, 10 Nov 2017 19:00:00 +0800",6
General Stations,Eastern,"Fri, 10 Nov 2017 20:00:00 +0800",6
General Stations,Eastern,"Fri, 10 Nov 2017 21:00:00 +0800",6
General Stations,Eastern,"Fri, 10 Nov 2017 22:00:00 +0800",6
General Stations,Eastern,"Fri, 10 Nov 2017 23:00:00 +0800",6
General Stations,Eastern,"Sat, 11 Nov 2017 00:00:00 +0800",5
General Stations,Eastern,"Sat, 11 Nov 2017 01:00:00 +0800",5
General Stations,Eastern,"Sat, 11 Nov 2017 02:00:00 +0800",4
General Stations,Eastern,"Sat, 11 Nov 2017 03:00:00 +0800",4
General Stations,Eastern,"Sat, 11 Nov 2017 04:00:00 +0800",4
General Stations,Eastern,"Sat, 11 Nov 2017 05:00:00 +0800",4
General Stations,Eastern,"Sat, 11 Nov 2017 06:00:00 +0800",4
General Stations,Eastern,"Sat, 11 Nov 2017 07:00:00 +0800",4
General Stations,Eastern,"Sat, 11 Nov 2017 08:00:00 +0800",4
General Stations,Eastern,"Sat, 11 Nov 2017 09:00:00 +0800",4
General Stations,Eastern,"Sat, 11 Nov 2017 10:00:00 +0800",4
General Stations,Kwun Tong,"Fri, 10 Nov 2017 11:00:00 +0800",4
General Stations,Kwun Tong,"Fri, 10 Nov 2017 12:00:00 +0800",4
General Stations,Kwun Tong,"Fri, 10 Nov 2017 13:00:00 +0800",4
General Stations,Kwun Tong,"Fri, 10 Nov 2017 14:00:00 +0800",5
General Stations,Kwun Tong,"Fri, 10 Nov 2017 15:00:00 +0800",5
General Stations,Kwun Tong,"Fri, 10 Nov 2017 16:00:00 +0800",5
General Stations,Kwun Tong,"Fri, 10 Nov 2017 17:00:00 +0800",5
General Stations,Kwun Tong,"Fri, 10 Nov 2017 18:00:00 +0800",5
General Stations,Kwun Tong,"Fri, 10 Nov 2017 19:00:00 +0800",5
General Stations,Kwun Tong,"Fri, 10 Nov 2017 20:00:00 +0800",5
General Stations,Kwun Tong,"Fri, 10 Nov 2017 21:00:00 +0800",5
General Stations,Kwun Tong,"Fri, 10 Nov 2017 22:00:00 +0800",5
General Stations,Kwun Tong,"Fri, 10 Nov 2017 23:00:00 +0800",5
General Stations,Kwun Tong,"Sat, 11 Nov 2017 00:00:00 +0800",5
General Stations,Kwun Tong,"Sat, 11 Nov 2017 01:00:00 +0800",4
General Stations,Kwun Tong,"Sat, 11 Nov 2017 02:00:00 +0800",4
General Stations,Kwun Tong,"Sat, 11 Nov 2017 03:00:00 +0800",4
General Stations,Kwun Tong,"Sat, 11 Nov 2017 04:00:00 +0800",4
General Stations,Kwun Tong,"Sat, 11 Nov 2017 05:00:00 +0800",4
General Stations,Kwun Tong,"Sat, 11 Nov 2017 06:00:00 +0800",4
General Stations,Kwun Tong,"Sat, 11 Nov 2017 07:00:00 +0800",4
General Stations,Kwun Tong,"Sat, 11 Nov 2017 08:00:00 +0800",4
General Stations,Kwun Tong,"Sat, 11 Nov 2017 09:00:00 +0800",4
General Stations,Kwun Tong,"Sat, 11 Nov 2017 10:00:00 +0800",4
General Stations,Sham Shui Po,"Fri, 10 Nov 2017 11:00:00 +0800",4
General Stations,Sham Shui Po,"Fri, 10 Nov 2017 12:00:00 +0800",4
General Stations,Sham Shui Po,"Fri, 10 Nov 2017 13:00:00 +0800",4
General Stations,Sham Shui Po,"Fri, 10 Nov 2017 14:00:00 +0800",5
General Stations,Sham Shui Po,"Fri, 10 Nov 2017 15:00:00 +0800",5
General Stations,Sham Shui Po,"Fri, 10 Nov 2017 16:00:00 +0800",5
General Stations,Sham Shui Po,"Fri, 10 Nov 2017 17:00:00 +0800",5
General Stations,Sham Shui Po,"Fri, 10 Nov 2017 18:00:00 +0800",5
General Stations,Sham Shui Po,"Fri, 10 Nov 2017 19:00:00 +0800",5
General Stations,Sham Shui Po,"Fri, 10 Nov 2017 20:00:00 +0800",5
General Stations,Sham Shui Po,"Fri, 10 Nov 2017 21:00:00 +0800",6
General Stations,Sham Shui Po,"Fri, 10 Nov 2017 22:00:00 +0800",5
General Stations,Sham Shui Po,"Fri, 10 Nov 2017 23:00:00 +0800",5
General Stations,Sham Shui Po,"Sat, 11 Nov 2017 00:00:00 +0800",5
General Stations,Sham Shui Po,"Sat, 11 Nov 2017 01:00:00 +0800",4
General Stations,Sham Shui Po,"Sat, 11 Nov 2017 02:00:00 +0800",4
General Stations,Sham Shui Po,"Sat, 11 Nov 2017 03:00:00 +0800",4
General Stations,Sham Shui Po,"Sat, 11 Nov 2017 04:00:00 +0800",4
