StationName,DateTime,NO2,O3,SO2,CO,PM10,PM2.5
Central/Western,"Fri, 10 Nov 2017 11:00:00 +0800",36.7,82.8,6.3,-,34.8,17.6
Central/Western,"Fri, 10 Nov 2017 12:00:00 +0800",37.2,93.3,6.1,-,36.4,20.1
Central/Western,"Fri, 10 Nov 2017 13:00:00 +0800",41.6,102.4,6.5,-,37.5,20.5
Central/Western,"Fri, 10 Nov 2017 14:00:00 +0800",73.1,85.8,7.2,-,39.6,22.4
Central/Western,"Fri, 10 Nov 2017 15:00:00 +0800",91.0,72.5,14.0,-,47.6,25.8
Central/Western,"Fri, 10 Nov 2017 16:00:00 +0800",62.6,110.4,12.7,-,49.0,24.3
Central/Western,"Fri, 10 Nov 2017 17:00:00 +0800",61.2,114.1,11.9,-,49.4,28.0
Central/Western,"Fri, 10 Nov 2017 18:00:00 +0800",89.8,110.6,13.7,-,61.1,34.3
Central/Western,"Fri, 10 Nov 2017 19:00:00 +0800",141.7,42.3,13.4,-,67.0,38.4
Central/Western,"Fri, 10 Nov 2017 20:00:00 +0800",70.1,91.2,9.8,-,63.1,37.7
Central/Western,"Fri, 10 Nov 2017 21:00:00 +0800",45.2,109.4,12.0,-,58.5,37.6
Central/Western,"Fri, 10 Nov 2017 22:00:00 +0800",42.9,102.2,11.9,-,52.7,34.0
Central/Western,"Fri, 10 Nov 2017 23:00:00 +0800",44.6,85.9,9.6,-,47.4,30.8
Central/Western,"Sat, 11 Nov 2017 00:00:00 +0800",30.8,94.4,7.3,-,39.5,24.7
Central/Western,"Sat, 11 Nov 2017 01:00:00 +0800",21.8,89.4,7.1,-,32.0,18.0
Central/Western,"Sat, 11 Nov 2017 02:00:00 +0800",18.8,85.7,6.4,-,29.7,16.9
Central/Western,"Sat, 11 Nov 2017 03:00:00 +0800",14.0,94.4,6.6,-,29.2,16.6
Central/Western,"Sat, 11 Nov 2017 04:00:00 +0800",15.1,92.5,7.0,-,30.7,17.2
Central/Western,"Sat, 11 Nov 2017 05:00:00 +0800",16.2,93.0,6.7,-,32.8,19.0
Central/Western,"Sat, 11 Nov 2017 06:00:00 +0800",28.3,80.0,8.5,-,33.8,20.0
Central/Western,"Sat, 11 Nov 2017 07:00:00 +0800",30.6,84.7,7.9,-,37.9,22.5
Central/Western,"Sat, 11 Nov 2017 08:00:00 +0800",30.9,80.3,9.6,-,41.9,25.8
Central/Western,"Sat, 11 Nov 2017 09:00:00 +0800",42.8,64.2,10.4,-,47.0,27.1
Central/Western,"Sat, 11 Nov 2017 10:00:00 +0800",50.8,68.5,11.1,-,54.3,31.8
Eastern,"Fri, 10 Nov 2017 11:00:00 +0800",40.5,89.2,2.2,-,35.1,17.5
Eastern,"Fri, 10 Nov 2017 12:00:00 +0800",37.0,98.3,2.2,-,30.1,15.2
Eastern,"Fri, 10 Nov 2017 13:00:00 +0800",43.0,104.9,2.8,-,30.5,14.5
Eastern,"Fri, 10 Nov 2017 14:00:00 +0800",54.9,110.4,3.5,-,39.9,17.4
Eastern,"Fri, 10 Nov 2017 15:00:00 +0800",56.1,113.7,3.3,-,51.7,17.9
Eastern,"Fri, 10 Nov 2017 16:00:00 +0800",70.2,95.6,2.4,-,50.4,19.4
Eastern,"Fri, 10 Nov 2017 17:00:00 +0800",84.5,78.5,3.8,-,48.3,23.8
Eastern,"Fri, 10 Nov 2017 18:00:00 +0800",79.5,93.8,6.5,-,51.8,29.2
Eastern,"Fri, 10 Nov 2017 19:00:00 +0800",66.8,107.6,4.9,-,51.9,29.8
Eastern,"Fri, 10 Nov 2017 20:00:00 +0800",56.3,117.0,8.1,-,55.2,28.3
Eastern,"Fri, 10 Nov 2017 21:00:00 +0800",48.5,116.9,11.9,-,54.0,31.4
Eastern,"Fri, 10 Nov 2017 22:00:00 +0800",51.7,107.7,11.1,-,53.1,33.7
Eastern,"Fri, 10 Nov 2017 23:00:00 +0800",43.2,99.1,4.4,-,48.4,33.0
Eastern,"Sat, 11 Nov 2017 00:00:00 +0800",41.7,92.7,5.2,-,41.9,28.1
Eastern,"Sat, 11 Nov 2017 01:00:00 +0800",28.8,90.2,3.8,-,36.2,21.6
Eastern,"Sat, 11 Nov 2017 02:00:00 +0800",24.3,92.4,3.2,-,30.4,16.4
Eastern,"Sat, 11 Nov 2017 03:00:00 +0800",21.1,97.1,3.4,-,25.3,14.4
Eastern,"Sat, 11 Nov 2017 04:00:00 +0800",22.4,96.1,3.1,-,30.4,16.2
Eastern,"Sat, 11 Nov 2017 05:00:00 +0800",22.7,97.9,3.1,-,34.5,19.6
Eastern,"Sat, 11 Nov 2017 06:00:00 +0800",25.6,96.0,3.1,-,32.9,21.1
Eastern,"Sat, 11 Nov 2017 07:00:00 +0800",38.3,88.2,3.9,-,30.1,21.2
Eastern,"Sat, 11 Nov 2017 08:00:00 +0800",48.9,70.7,6.5,-,31.1,21.4
Eastern,"Sat, 11 Nov 2017 09:00:00 +0800",54.7,65.7,7.4,-,45.1,23.5
Eastern,"Sat, 11 Nov 2017 10:00:00 +0800",48.4,84.0,5.9,-,57.5,27.5
Kwun Tong,"Fri, 10 Nov 2017 11:00:00 +0800",31.6,82.7,4.1,-,50.0,23.8
Kwun Tong,"Fri, 10 Nov 2017 12:00:00 +0800",24.5,95.5,4.4,-,35.2,22.2
Kwun Tong,"Fri, 10 Nov 2017 13:00:00 +0800",37.8,94.6,4.7,-,45.9,25.0
Kwun Tong,"Fri, 10 Nov 2017 14:00:00 +0800",36.5,99.6,4.5,-,47.0,25.0
Kwun Tong,"Fri, 10 Nov 2017 15:00:00 +0800",47.6,96.5,4.7,-,48.0,27.0
Kwun Tong,"Fri, 10 Nov 2017 16:00:00 +0800",106.5,52.1,5.0,-,46.0,25.0
Kwun Tong,"Fri, 10 Nov 2017 17:00:00 +0800",117.5,31.8,7.1,-,72.7,28.9
Kwun Tong,"Fri, 10 Nov 2017 18:00:00 +0800",84.1,62.4,5.3,-,74.0,32.0
Kwun Tong,"Fri, 10 Nov 2017 19:00:00 +0800",55.3,93.5,6.1,-,66.1,31.0
Kwun Tong,"Fri, 10 Nov 2017 20:00:00 +0800",45.5,100.8,9.8,-,59.1,36.9
Kwun Tong,"Fri, 10 Nov 2017 21:00:00 +0800",42.7,107.2,8.5,-,60.0,37.0
Kwun Tong,"Fri, 10 Nov 2017 22:00:00 +0800",28.5,101.5,6.8,-,57.0,36.0
Kwun Tong,"Fri, 10 Nov 2017 23:00:00 +0800",27.1,90.6,5.1,-,51.1,29.1
Kwun Tong,"Sat, 11 Nov 2017 00:00:00 +0800",36.3,77.1,4.6,-,46.0,25.1
Kwun Tong,"Sat, 11 Nov 2017 01:00:00 +0800",26.0,75.3,4.5,-,35.2,21.3
Kwun Tong,"Sat, 11 Nov 2017 02:00:00 +0800",16.5,74.4,3.4,-,34.0,20.0
Kwun Tong,"Sat, 11 Nov 2017 03:00:00 +0800",15.7,78.2,3.5,-,35.1,16.1
Kwun Tong,"Sat, 11 Nov 2017 04:00:00 +0800",11.7,88.5,8.0,-,36.0,18.0
Kwun Tong,"Sat, 11 Nov 2017 05:00:00 +0800",19.5,84.2,4.9,-,41.9,19.0
Kwun Tong,"Sat, 11 Nov 2017 06:00:00 +0800",19.2,88.1,4.5,-,39.0,22.0
Kwun Tong,"Sat, 11 Nov 2017 07:00:00 +0800",43.0,72.8,6.3,-,42.0,24.0
Kwun Tong,"Sat, 11 Nov 2017 08:00:00 +0800",36.8,61.4,7.2,-,44.0,29.9
Kwun Tong,"Sat, 11 Nov 2017 09:00:00 +0800",45.4,57.3,7.3,-,49.9,26.1
Kwun Tong,"Sat, 11 Nov 2017 10:00:00 +0800",40.6,71.1,8.4,-,57.9,31.0
Sham Shui Po,"Fri, 10 Nov 2017 11:00:00 +0800",64.2,62.6,3.6,-,28.3,14.3
